Date,Year,Month,Day,Location,City,State,Plastic drink bottles,Food wrappers,Plastic grocery bags,"Plastic bags (Zip-loc, etc)",Straws/stirrers,Utensils,Plastic cups/plates,Plastic take away containers,Plastic bottle caps,Plastic lids,Cigarettes,Vaping cartidges/pods,Cigar tips,Personal hygiene,Dental/floss picks,Tampons/applicators,Wipes,Toys,Balloons,Lighters,Shotgun shells/wadding,Strapping bands,Zip-ties,Shipping/packaging,Plastic sheeting/tape,Oil/lube bottles,Bleach/cleaner bottles,Masks (reusable/fabric),Masks (disposable),Gloves (disposable),Hand sanitizer,Cans,Metals caps/lids,Batteries,Metal pieces,Glass bottles,Glass pieces,Tires,Rubber pieces,Shoes,Fabric pieces,Clothing/towels/gloves,Paper straws,Paper bags,Paper cups/plates,Paper/tissues/napkins,Paper Shipping/packaging,Bait containers/crates,Lobster claw bands,Fishing nets,Lures and lightsticks,Derelict traps/trap pieces,Buoys/floats,Rope,Micro plastic 0-5mm,SMALL plastic 5-30mm,LARGE plastic >30mm,Line/net fiber: MICRO 0-5mm,Line/net fiber: SMALL 5-30mm,Line/net fiber: LARGE >30mm,Resin Pellets,BBs/beads,Foam cups/plates,Foam take away containers,Micro foam 0-5mm,SMALL foam 5-30mm,LARGE foam >30mm,Dock Foam (any size),Foam Toys,Foam Toys (water/pool),Foam Shipping/packaging,Foam Buoys,Foam Coolers,Pink Construction Foam,Blue Construction Foam,Construction Foam w Foil,Foam Meat Trays,Home & garden items,Car/boat parts,Other,Unidentified pieces,Type of cleanup,Type of location,Distance cleaned (miles),Duration (hrs),Start time,End time,Weather,Weather (wind knots),Recent weather,Tide,Flow,Recent events,Total weight (lb),# of participants,Unusual items,Notes/comments,Plastic Total,PPE Total,Metal Total,Glass/Rubber Total,Paper/Cloth Total,Fishing Debris Total,"Microplastics, Fibers, Fragments Total",Foam Total,Other Total,Total Total,Outlier
2012-06-07,2012,June,7,Isles of Shoals mooring,Rye,NH,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dip net,Unknown,0.0,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,1.0,7.0,,"Other item: hook set disc, glass bottle retrieved from ROV",4,0,0,1,0,1,2,5,1,5,
2012-06-07,2012,June,7,Neuston net off Isles of Shoals,Rye,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neuston net,Unknown,0.62137,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,7.0,,,0,0,0,0,0,0,19,1,0,0,O
2012-06-07,2012,June,7,Neuston net outside Prtsmth harbor entrance,Portsmouth,NH,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,8,0,12,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neuston net,Unknown,0.62137,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,7.0,,Plastic bag retrieved with Dip net,3,0,0,1,0,0,189,190,0,3,O
2012-06-08,2012,June,8,Opportunistic Neuston net in Prtsmth harbor entrance,Portsmouth,NH,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neuston net,Unknown,0.62137,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,7.0,,,2,0,0,0,0,0,24,24,0,2,O
2012-06-12,2012,June,12,Rich's Head Beach,Frenchboro,ME,70,87,68,0,5,37,0,0,61,1,5,0,1,2,0,2,0,3,13,4,51,0,66,0,3,11,7,0,0,0,0,7,0,0,13,0,0,0,0,2,16,16,0,3,0,6,9,65,0,8,2,39,27,648,8,66,110,59,28,99,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,16,2,14,1094,Shoreline (hands),Unknown,0.057,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,9.0,,"other includes 1 aersol can, 2 barrells, 2 rubber tubings, 5 escape doors and 4 hook set disks",497,0,20,0,52,789,370,140,1126,1623,O
2012-06-13,2012,June,13,Rich's Head Beach,Frenchboro,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4993,Shoreline (hands),Unknown,0.1,4.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,9.0,,other is 5 Hookset disks,0,0,0,0,0,228,0,0,4998,4998,O
2012-06-14,2012,June,14,Rich's Head Beach,Frenchboro,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4406,Shoreline (hands),Unknown,0.011,3.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,12.0,,"Too much trash to count other than number. Overwhelming amount of fishing gear, buoys, bleach and oil bottles, water bottles and more",0,0,0,0,0,0,0,0,4406,4406,O
2012-06-16,2012,June,16,Rockland Public Landing,Rockland,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,ROV,Unknown,0.00568,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,5.0,25.0,,28 people attended the education day other is 2 parts of bicycle,0,0,0,0,0,1,0,0,2,2,
2012-06-17,2012,June,17,Rockland Public Landing,Rockland,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ROV,Unknown,0.00568,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,30.0,25.0,,17 people attended the education day other includes a bike,1,0,0,0,0,0,0,0,1,2,
2012-06-19,2012,June,19,Isles of Shoals (3 tows),Rye,NH,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,5,0,29,1,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Neuston net,Unknown,1.86411,0.0,,,Unknown,,Unknown,Unknown,Unknown,Unknown,0.0,8.0,,"Three tows were done. The plastic bag is from the surface. Other includes 4 hookset disks, 1 piece of charcoal and one dehumidifying absorbant piece",6,0,0,0,1,0,81,30,6,12,O
